IndexCode,IndexID,IndexName
1,SENSEX,BSE SENSEX
2,BSE100,BSE 100
3,BSE200,BSE 200
4,BSE500,BSE 500
7,BSE CG,BSE CAPITAL GOODS
8,BSE CD,BSE CONSUMER DURABLES
10,BSEPSU,BSE PSU
11,TECK,BSE TECK
12,BANKEX,BSE BANKEX
13,AUTO,BSE AUTO
14,METAL,BSE METAL
15,OILGAS,BSE OIL&GAS
21,REALTY,BSE REALTY
22,POWER,BSE POWER
23,BSEIPO,BSE IPO
27,SMEIPO,BSE SME IPO
28,INFRA,BSE INDIA INFRA INDEX
29,CPSE,BSE CPSE
32,BSEFMC,BSE FMCG
33,BSE HC,BSE Healthcare
34,BSE IT,BSE IT
35,MFG,BSE INDIA MFG INDEX
37,COMDTY,BSE COMMODITIES
38,CONDIS,BSE CONSUMER DISCRE
39,ENERGY,BSE ENERGY
40,FINSER,BSE FINANCIAL SERVCS
41,INDSTR,BSE INDUSTRIALS
43,MIDSEL,BSE MIDCAP SELECT
44,SMLSEL,BSE SMALLCAP SELECT
45,TELCOM,BSE TELECOMMUNICATION
46,UTILS,BSE UTILITIES
47,SNSX50,BSE SENSEX 50
48,SNXT50,BSE SENSEX NEXT 50
49,BHRT22,BSE BHARAT 22 INDEX
50,ESG100,BSE 100 ESG INDEX
55,MID150,BSE 150 MIDCAP INDEX
56,SML250,BSE 250 SMALLCAP
57,LMI250,BSE 250 LARGEMIDCAP
58,MSL400,BSE 400 MIDSMALLCAP
59,BSEDSI,BSE DVND STABILITY
60,BSEEVI,BSE ENHANCED VALUE
61,BSELVI,BSE LOW VOLATILITY
62,BSEMOI,BSE MOMENTUM INDEX
63,BSEQUI,BSE QUALITY INDEX
64,DFRGRI,BSE DIVERS FIN REV GR
65,LCTMCI,BSE 100 LARGECAP TMC
66,BSEPBI,BSE PRIVATE BANKS
67,BSESER,BSE Services
68,SNXN30,BSE SENSEX NEXT 30
69,SNSX60,BSE SENSEX SIXTY
70,SS6535,BSE SENSEXSIXTY 65:35
71,POWENE,BSE POWER & ENERGY
72,200EQW,BSE 200 EQUAL WEIGHT
73,INTECO,BSE INTERNET ECONOMY
74,CAPINS,BSE CAP MKTS & INSU
75,FOCIT,BSE FOCUSED IT
76,PRECON,BSE PREMIUM CONSUMPT
77,FOCMID,BSE FOCUSED MIDCAP
78,BBGEFS,BSE SEL BUSINESS GRP
79,SENEQW,BSE SENSEX EQUAL WGT
80,SELIPO,BSE Select IPO
81,PSUBNK,BSE PSU BANK
82,INSLDR,BSE INDIA SECT LEADER
83,BS1000,BSE 1000
89,QUAL50,BSE 500 QUALITY 50
90,IND150,BSE INDIA 150
91,DIVY50,BSE 500 Dvnd Leader50
93,MOME50,BSE 500 MOMENTUM 50
95,INSURE,BSE Insurance
96,INDDEF,BSE India Defence
99,BSHOSP,BSE Hospitals
102,T10BNK,BSE Top 10 Banks
109,MMOM30,BSE MCAP150MOMENTUM30
114,BSMSPB,BSE MIDSML PB QLT TLT
123,BSHFIN,BSE Housing Finance
126,BLMD50,BSE LgMd60:40St Div50
127,BSEMSP,BSE MidSmall Pvt Bnks
