Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
31 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,31 AUG 2026,               5.00,          35286502,            218.05,     7693516031.05 
31 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,31 AUG 2026,              10.00,          10500000,             40.35,      423570000.00
31 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,31 AUG 2026,               1.00,         406486596,           1175.00,   477621750300.00    
31 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,31 AUG 2026,              10.00,           8582670,           1447.80,    12425989626.00
31 AUG 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,31 AUG 2026,              10.00,         207403767,             23.00,     4774434716.35 
31 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,31 AUG 2026,              10.00,          11265070,          33320.00,   375352132400.00   
31 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,31 AUG 2026,               2.00,          18000000,             31.50,      566820000.00    
31 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,31 AUG 2026,              10.00,          46882257,            356.60,    16718212846.20    
31 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,31 AUG 2026,               2.00,          46078537,            778.85,    35888268542.45   
31 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,31 AUG 2026,              10.00,         177522358,             16.75,     2973499496.50  
31 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,31 AUG 2026,              10.00,          12826800,             94.80,     1215852372.00   
31 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,31 AUG 2026,              10.00,         437298899,            468.10,   204699614621.90 
31 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,31 AUG 2026,              10.00,          14172816,             66.00,      935405856.00    
31 AUG 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,31 AUG 2026,               1.00,         101250000,              8.65,      874800000.00    
31 AUG 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,31 AUG 2026,              10.00,          14138000,             78.00,     1102764000.00  
31 AUG 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,31 AUG 2026,              10.00,          28354303,             88.20,     2501133067.65
31 AUG 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,31 AUG 2026,              10.00,          42238628,             32.05,     1352903254.85    
31 AUG 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,31 AUG 2026,              10.00,          20946478,            130.10,     2725136787.80     
31 AUG 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,31 AUG 2026,               5.00,          31770375,             47.90,     1521800962.50   
31 AUG 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,31 AUG 2026,              10.00,          91270000,            411.70,    37575859000.00
31 AUG 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,31 AUG 2026,               5.00,         362594491,            524.40,   190144551080.40  
31 AUG 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,31 AUG 2026,               5.00,          90657751,            845.40,    76642062695.40
31 AUG 2026,AARTISURF,BE,AARTI SURFACTANTS LIMITED,Listed    ,31 AUG 2026,              10.00,           8464995,            520.60,     4406876397.00 
31 AUG 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,31 AUG 2026,              10.00,          14844100,            142.40,     2113651399.00     
31 AUG 2026,AASTHA,EQ,AASTHA SPINTEX LIMITED   ,Listed    ,31 AUG 2026,              10.00,          44142190,             83.60,     3690728505.90    
31 AUG 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,27 AUG 2026,               5.00,          22600000,             18.25,      412450000.00    
31 AUG 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,31 AUG 2026,              10.00,          79287782,           1261.20,    99997750658.40     
31 AUG 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,31 AUG 2026,               2.00,          58365323,             14.85,      865557740.10      
31 AUG 2026,ABANSENT,EQ,ABANS ENTERPRISES LTD.   ,Permitted ,31 AUG 2026,               2.00,          69748880,             27.45,     1913909267.20  
