Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
14 AUG 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,14 AUG 2026,               5.00,          35286502,            190.90,     6736193231.80 
14 AUG 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,14 AUG 2026,              10.00,          10500000,             44.05,      462525000.00
14 AUG 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,14 AUG 2026,               1.00,         406486596,           1180.00,   479654183280.00    
14 AUG 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,14 AUG 2026,              10.00,           8582670,           1174.60,    10081204182.00
14 AUG 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,14 AUG 2026,              10.00,         207403767,             26.95,     5589531520.65 
14 AUG 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,14 AUG 2026,              10.00,          11265070,          35340.00,   398107573800.00   
14 AUG 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,14 AUG 2026,               2.00,          18000000,             32.20,      579240000.00    
14 AUG 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,14 AUG 2026,              10.00,          46882257,            383.80,    17993410236.60    
14 AUG 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,14 AUG 2026,               2.00,          46078537,            786.25,    36229249716.25   
14 AUG 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,14 AUG 2026,              10.00,         177522358,             14.70,     2613129109.75  
14 AUG 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,14 AUG 2026,              10.00,          12826800,             92.20,     1182374424.00   
14 AUG 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,14 AUG 2026,              10.00,         437298899,            498.20,   217862311481.80 
14 AUG 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,14 AUG 2026,              10.00,          14172816,             50.70,      718561771.20    
