FinInstrmId,TckrSymb,SctySrs,FinInstrmNm,ISIN,NewBrdLotQty,ParVal,SctyTpFlg,BidIntrvl,TrckgInd,CallAuctnInd,BookClsrStartDt,BookClsrEndDt,NoDlvryStartDt,NoDlvryEndDt,IssdCptl,PrtdToTrad,PricRg,SctyStsNrmlMkt,ElgbltyNrmlMkt,SctyStsOddLotMkt,ElgbltyOddLotMkt,SctyStsRETDBTMkt,ElgbltyClsgAuctnSsn,SctyStsAuctnMkt,ElgbltyAuctnMkt,SctyStsAddtlMkt1,ElgbltyAddtlMkt1,SctyStsAddtlMkt2,ElgbltyAddtlMkt2,IsseDt,FrstPmtDt,MtrtyDt,MaxTradQtyPctg,ListgDt,RmvlDt,RadmssnDt,RcrdDt,IndxPrtcptnInd,AllOrNn,MinFill,SttlmTp,Dvdd,Rghts,Bns,Intrst,AGMtg,EGMtg,MktMakrSprd,MktMakrMinQty,AddtlInf,UpdDt,DelFlg,SpclExDt,Xchg,UnqPdctIdr,SctyTp,TickSz,XchgExclsv,Sts,ExDvddDt,ExBnsDt,ExRghtsDt,FinInstrmTp,InstrmTp,TradgPrtd,BuyBckInd,TradToTradInd,Indx,IndxInstrm,FinInstrmAttrbts,MinLot,UndrlygInstrmAsstClss,UndrlygInstrm,UndrlygFinInstrmId,BlckDealAllwdFlg,InstrmNm,MktTpAndId,UnitOfMeasr,PricQtQty,PricRgTp,MaxPric,MinPric,SttlmMtd,InitlMrgnTp,BuyInitlMrgnRate,IssePric,MaxSnglTxnQty,MaxSnglTxnVal,AsstClss,PricNmrtr,Spcfctn,PricDnmtr,GnlNmrtr,GnlDnmtr,LotNmrtr,LotDnmtr,DcmlstnPric,SrsSttlmTp,FreeFltCptl,SellInitlMrgnRate,RatgDtls,FinInstrmClssfctn,SpclMrgnTp,BuySpclMrgnRat,SellSpclMrgnRat,PreOpnAllwdFlg,ClssfctnTp,MtchgCrit,ValMtd,SLBMElgblty,Sgmt,Ccy,SttlmCcy,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Rsvd06,Rsvd07
14747,011NSETEST,EQ,011NSETEST,DUMMYSAN005,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14751,021NSETEST,EQ,021NSETEST,DUMMYSAN006,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14753,031NSETEST,EQ,031NSETEST,DUMMYSAN007,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14755,041NSETEST,EQ,041NSETEST,DUMMYSAN008,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17048,051NSETEST,BL,051NSETEST,DUMMYSAN009,999999999,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,194.00-206.00,1,0,2,0,2,0,2,0,1,0,1,0,1372809600,0,0,5000,1372809600,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472748065,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14758,051NSETEST,EQ,051NSETEST,DUMMYSAN009,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14762,061NSETEST,EQ,061NSETEST,DUMMYSAN010,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14764,071NSETEST,EQ,071NSETEST,DUMMYSAN011,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14767,081NSETEST,EQ,081NSETEST,DUMMYSAN012,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14769,091NSETEST,EQ,091NSETEST,DUMMYSAN013,1,1000,0,5,0,1,0,0,0,0,1.00000000000000E+08,0,180.00-220.00,6,1,2,0,2,0,2,1,1,0,1,0,1364688000,0,0,5000,1364688000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1472754140,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
